misc/nupdates,misc/total_timesteps,fps,sim_time,train_time,eprewmean,epcostmean,epsuccessmean,epcollisionmean,eppathlengthmean,loss/policy_entropy,loss/policy_loss,loss/value_loss,loss/cost_value_loss
960,3690240,391,6823.341461896896,2604.1728892326355,28.478144,0.57379517,0.994,0.006,17.795674526683985,1.4189385175704956,-0.002447338995989412,0.044360407828935425,0.04150662097235909
980,3767040,391,6963.269953489304,2657.499671459198,28.421242,0.521933762,0.984,0.016,17.930336590081453,1.4189385175704956,-0.0012515989583334886,2.7706231151591054,0.04724172328569694
1000,3843840,390,7112.680825948715,2712.3540749549866,28.713593,0.599457302,0.988,0.012,17.764583024982365,1.4189385175704956,-0.001959392421122175,0.06202387364464812,0.08238329179148422
1020,3920640,390,7255.432747364044,2766.5676641464233,27.910252,0.579131374,0.98,0.02,17.61809667320177,1.4189385175704956,-0.0010713954427046702,0.05985332899435889,0.059221495993551795
1040,3997440,390,7403.779722690582,2821.095378637314,28.528358,0.59841321,0.99,0.01,17.74479119412601,1.4189385175704956,-0.0023425164908985607,0.04301635276642628,0.0367093319662672
1060,4074240,390,7545.196434497833,2874.8489093780518,28.446337,0.68127356,0.986,0.014,17.277519029341637,1.4189385175704956,-0.0025546298071276396,0.06509580512065441,0.0598756599065382
1080,4151040,390,7681.06348323822,2928.399565219879,28.220066,0.609606148,0.98,0.02,17.642907191377134,1.4189385175704956,-0.0011636607545369771,2.5040709499211515,0.08313968935544835
1100,4227840,391,7816.385675430298,2981.9649164676666,28.36537,0.7482401299999999,0.984,0.016,17.974623675905168,1.4189385175704956,-0.0008361660875380039,1.0456888414395507,0.07213376595755108
1120,4304640,391,7952.293711900711,3034.5552167892456,28.380032,0.563997736,0.986,0.014,17.796978581026195,1.4189385175704956,-0.001253430206156736,2.8255334333109206,0.05462938669734285
1140,4381440,391,8095.79248046875,3088.3719186782837,28.30972,0.563734444,0.988,0.012,18.037708653137088,1.4189385175704956,-0.0014249453393858857,0.07025156547897496,0.04389518342795782
1160,4458240,391,8245.284574270248,3143.333480119705,28.853735,0.61732647,0.994,0.006,18.19726620531082,1.4189385175704956,-0.0017697028114525893,0.04798540611518547,0.04623243583337171
1180,4535040,390,8394.2431037426,3198.640496969223,28.397163,0.585711972,0.986,0.014,18.214781781181692,1.4189385175704956,-0.0010037593776360155,1.9965411115030292,0.03267149694656837
