misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
1600,6147840,292,28.47434,1.4189385175704956,0.0013849644659785555,2.918936902897258
1620,6224640,293,28.504755,1.4189385175704956,0.0032552985852817074,0.03974966896494152
1640,6301440,293,28.474323,1.4189385175704956,0.0025897865736624224,1.7242424020223552
1660,6378240,293,28.200218,1.4189385175704956,0.0017102576304750983,1.572398432425689
1680,6455040,294,28.031067,1.4189385175704956,0.0038422469384386203,4.423778519274492
1700,6531840,294,28.49271,1.4189385175704956,0.0027224230012507177,1.2191232294673682
1720,6608640,294,28.652443,1.4189385175704956,0.0027628167954389937,0.036216903249442114
1740,6685440,294,28.264704,1.4189385175704956,0.00227706769364886,2.3228321032453096
1760,6762240,294,28.606873,1.4189385175704956,0.001994236456357612,0.042501763030304576
1780,6839040,294,28.303528,1.4189385175704956,0.0017316374658548738,2.9926102250261466
1800,6915840,295,28.481724,1.4189385175704956,-0.0007686969227506779,0.8117890237597749
1820,6992640,295,28.405796,1.4189385175704956,0.0005147051531821489,0.9720443408703432
1840,7069440,295,28.42516,1.4189385175704956,0.0012428312125848605,1.408595022195368
1860,7146240,295,28.308578,1.4189385175704956,0.0029726762644713745,1.3206676487257938
1880,7223040,295,28.645319,1.4189385175704956,0.004003920710965758,1.0880609645479127
1900,7299840,295,28.355122,1.4189385175704956,0.00236879057670194,1.7600613766699098
1920,7376640,295,28.219887,1.4189385175704956,0.0030735347252630165,1.1892562160268425
1940,7453440,295,28.432941,1.4189385175704956,0.002434239686772344,2.1104512695848827
1960,7530240,295,28.532225,1.4189385175704956,0.000942446775661665,1.8038951394526521
1980,7607040,295,28.113922,1.4189385175704956,0.0033439110080507816,3.9922636019124185
2000,7683840,296,28.229519,1.4189385175704956,0.004318755122949369,1.9956904567268794
2020,7760640,296,28.761208,1.4189385175704956,0.0002003589237574488,1.5176656013616594
2040,7837440,296,28.583475,1.4189385175704956,0.001334369999494811,0.6987050019641174
2060,7914240,296,28.66393,1.4189385175704956,0.001629660166508984,0.028643040895985905
2080,7991040,296,28.301184,1.4189385175704956,0.005217746508969867,0.034733492063242014
2100,8067840,296,28.13578,1.4189385175704956,0.0016158397117578716,1.1697322733452893
2120,8144640,296,28.298813,1.4189385175704956,0.0035265117534436286,0.9614294734841679
2140,8221440,296,28.811476,1.4189385175704956,0.0028254494962311584,1.456178921861283
2160,8298240,297,27.946169,1.4189385175704956,0.0014696291123982518,0.03777942867309321
2180,8375040,297,28.203613,1.4189385175704956,0.005053382771438919,0.0344078481735778
2200,8451840,297,28.4607,1.4189385175704956,0.0007040523996693082,1.3950536279153312
2220,8528640,297,28.405836,1.4189385175704956,0.00262257419526577,1.8873996002221247
2240,8605440,297,28.351406,1.4189385175704956,0.0017733356041844672,3.8205499979376327
2260,8682240,297,28.785692,1.4189385175704956,0.0006445588282076642,1.2221919759729645
2280,8759040,297,28.337896,1.4189385175704956,0.004189165648131166,1.464193966081075
2300,8835840,297,28.145586,1.4189385175704956,0.003970529055368388,1.2679005937476178
2320,8912640,298,28.552519,1.4189385175704956,0.0026654559278540546,0.9455563498457196
2340,8989440,298,28.100624,1.4189385175704956,0.001895987114403397,1.0269866197108057
2360,9066240,298,27.842796,1.4189385175704956,0.0017078860866604373,0.04325471808988368
2380,9143040,298,28.327208,1.4189385175704956,0.0009755740968103055,1.2814106869838724
2400,9219840,298,28.31947,1.4189385175704956,0.0015997399343177677,1.5259287950902944
2420,9296640,298,28.33516,1.4189385175704956,0.0038871545548317954,0.030870798822434153
2440,9373440,299,28.632175,1.4189385175704956,0.0015648746266379021,1.6559778988113976
2460,9450240,299,28.446648,1.4189385175704956,0.003672870126320049,0.031713004066841674
