misc/nupdates,misc/total_timesteps,fps,eprewmean,epsuccessmean,epcollisionmean,eppathlengthmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
540,2077440,863,21.114649,0.802,0.198,19.70037790099904,1.4189385175704956,0.009989122864453748,15.411743383668362
560,2154240,863,22.389547,0.836,0.164,20.45192873238586,1.4189385175704956,0.007614531493163668,9.758312962716445
580,2231040,863,22.852901,0.842,0.158,21.0853961688783,1.4189385175704956,0.011216532577964244,12.224573089648038
600,2307840,863,22.684357,0.834,0.166,20.826309571750695,1.4189385175704956,0.008292881123634289,8.558401970635169
620,2384640,864,23.1948,0.852,0.148,21.02642225784436,1.4189385175704956,0.008431151499462431,6.856015665829181
640,2461440,864,23.026196,0.852,0.148,21.18108799921535,1.4189385175704956,0.005683101019531023,11.905249738460407
660,2538240,864,22.482824,0.836,0.164,20.006827076256275,1.4189385175704956,0.009431788979418343,12.76510463282466
680,2615040,864,23.09438,0.85,0.15,20.910512031133287,1.4189385175704956,0.006764324920368381,8.706953924475238
700,2691840,864,22.978998,0.854,0.146,20.99036684207525,1.4189385175704956,0.0051686201215488834,8.99587739314884
720,2768640,865,22.38654,0.83,0.17,20.82861246933043,1.4189385175704956,0.008565518882824108,8.535245749005117
740,2845440,865,23.386816,0.862,0.138,20.84524036192894,1.4189385175704956,0.006521383397193858,8.22062923151534
760,2922240,865,23.089378,0.852,0.148,20.947881327338518,1.4189385175704956,0.009482042544550495,10.85799909015186
780,2999040,865,23.991407,0.872,0.128,21.10816250588186,1.4189385175704956,0.007214068763278192,7.094173592864536
800,3075840,865,23.434654,0.864,0.136,21.101185357149692,1.4189385175704956,0.006262965502537554,6.008742105984129
820,3152640,865,24.519398,0.888,0.112,20.920124960725197,1.4189385175704956,0.005135151363985813,9.346398524590768
840,3229440,866,23.265196,0.852,0.148,20.63928756978363,1.4189385175704956,0.008268150719231926,10.810042552510277
860,3306240,866,23.637337,0.87,0.13,20.398773624341004,1.4189385175704956,0.005125605383364018,4.233111262414605
880,3383040,866,22.6788,0.84,0.16,20.96078488130029,1.4189385175704956,0.010305731748667312,11.850411622133105
900,3459840,866,25.736914,0.916,0.084,21.629046727674083,1.4189385175704956,0.006740812801581342,6.993149278662168
920,3536640,866,24.905617,0.896,0.104,21.44517885172367,1.4189385175704956,0.004297850957300398,9.19854902504012
940,3613440,866,23.94145,0.874,0.124,21.3067502091676,1.4189385175704956,0.005029238395218271,9.212332881311886
960,3690240,866,24.49297,0.892,0.108,20.67910381572321,1.4189385175704956,0.008638072779649519,6.136466559860855
980,3767040,867,24.62257,0.884,0.116,20.920621058334596,1.4189385175704956,0.0062208473864302505,6.281412806769367
1000,3843840,867,24.291899,0.884,0.116,21.553668571587654,1.4189385175704956,0.0021671819966286423,3.840812146686949
1020,3920640,867,25.547878,0.912,0.088,21.244063785242382,1.4189385175704956,0.0037818322976818307,7.7608033394441005
1040,3997440,867,24.669847,0.884,0.112,21.372849263625685,1.4189385175704956,0.004920432248036377,3.6109343390213327
1060,4074240,867,24.901625,0.9,0.1,21.826314653367504,1.4189385175704956,0.009146286571558448,5.271223363978788
1080,4151040,867,25.247515,0.902,0.096,22.06811097598821,1.4189385175704956,0.005500671327172313,6.047262385603972
1100,4227840,867,23.3521,0.858,0.14,20.82636583054997,1.4189385175704956,0.01057931007235311,9.0620033954503
1120,4304640,867,23.620386,0.864,0.136,21.119573774904012,1.4189385175704956,0.0025160660741676113,4.265190119436011
1140,4381440,868,23.052134,0.852,0.148,20.675675939312203,1.4189385175704956,0.0057061642204644155,10.139002251042985
1160,4458240,868,23.855776,0.864,0.136,20.884282677773385,1.4189385175704956,0.0037116900784894824,8.355201974674127
1180,4535040,868,24.167591,0.878,0.122,21.070471721336247,1.4189385175704956,0.004840576106835215,4.3294620111119
1200,4611840,868,24.578192,0.89,0.11,21.60185095707048,1.4189385175704956,0.0036477476416621355,7.332772614597343
1220,4688640,868,25.153765,0.906,0.094,21.582062312426977,1.4189385175704956,0.0032456525856105144,8.746720014605671
1240,4765440,868,24.871565,0.896,0.104,21.64710115336999,1.4189385175704956,0.0035339329529961105,5.369056205661036
1260,4842240,868,24.837742,0.894,0.106,21.594619421580806,1.4189385175704956,0.0046403092055697925,6.000484753830824
1280,4919040,868,25.17871,0.9,0.1,21.840733831156044,1.4189385175704956,0.0017546808642691758,9.757312459894456
1300,4995840,867,24.912508,0.896,0.104,21.387529685090296,1.4189385175704956,0.004034858188970247,7.881540525704622
1320,5072640,867,24.98185,0.898,0.102,21.504916442666204,1.4189385175704956,0.004933912007254548,5.860244665550999
1340,5149440,867,25.537188,0.912,0.088,21.707004919542,1.4189385175704956,0.001535751855954004,3.615855432592798
1360,5226240,867,24.553501,0.892,0.108,20.65812682066299,1.4189385175704956,0.0029342188594455366,7.780229430960025
1380,5303040,867,24.934744,0.9,0.1,21.059846755495293,1.4189385175704956,0.002953874428931158,3.8727491712663324
1400,5379840,867,24.194723,0.88,0.12,21.812816796759144,1.4189385175704956,0.0030904564875527283,6.541126998886466
1420,5456640,867,25.79336,0.918,0.082,21.716465727952308,1.4189385175704956,0.005495860475639347,4.76491378925275
1440,5533440,867,25.492456,0.916,0.084,22.056846860943363,1.4189385175704956,0.009218282352230744,8.433620425453409
1460,5610240,867,26.318296,0.932,0.068,22.261243664855137,1.4189385175704956,0.002992746370000532,2.507887778780423
1480,5687040,867,26.01666,0.924,0.074,22.325075768091715,1.4189385175704956,0.0026586061670968776,3.249985932081472
