misc/nupdates,misc/total_timesteps,fps,eprewmean,epsuccessmean,epcollisionmean,eppathlengthmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
940,3613440,621,20.745367,0.79,0.206,22.784950911447407,1.4189385175704956,0.0013943902886239812,8.438433484570123
960,3690240,621,22.899183,0.848,0.15,22.5185505713718,1.4189385175704956,0.006418275316536892,10.419638590351678
980,3767040,621,22.640905,0.836,0.16,23.431664405466755,1.4189385175704956,0.00322861346649006,6.663396293111146
1000,3843840,621,22.687115,0.842,0.156,22.3448978724021,1.4189385175704956,0.005931805109139532,9.540856002492365
1020,3920640,621,21.516365,0.816,0.182,22.350070297363214,1.4189385175704956,0.011450268019689246,9.013650048500859
1040,3997440,621,20.868315,0.798,0.198,21.87052671139245,1.4189385175704956,0.004466907982714474,17.703992812894285
1060,4074240,621,22.320116,0.826,0.172,21.9589168220954,1.4189385175704956,0.0072341772029176354,7.002019245875999
1080,4151040,621,20.873867,0.798,0.202,20.781927085425703,1.4189385175704956,0.003145891288295388,15.60512925122166
1100,4227840,621,18.369379,0.736,0.264,19.509521274304948,1.4189385175704956,0.006103196323965676,13.485159572027623
1120,4304640,621,19.507927,0.758,0.242,19.739399145119823,1.4189385175704956,0.0029399274335446535,8.682164033991285
1140,4381440,621,19.485325,0.76,0.238,20.23701376280468,1.4189385175704956,0.006058957206550986,12.594460206991062
1160,4458240,621,20.025375,0.778,0.222,20.833536960035563,1.4189385175704956,0.006330415199045092,11.68735020805616
1180,4535040,621,21.873697,0.82,0.178,21.586843013218605,1.4189385175704956,0.005655849957838655,13.30959004573524
1200,4611840,621,21.380156,0.804,0.194,21.880001443468036,1.4189385175704956,0.010874840908218174,11.451932908594609
1220,4688640,621,21.784725,0.82,0.178,21.21188511296152,1.4189385175704956,0.00424169554898981,4.967386771237943
1240,4765440,621,21.737762,0.818,0.182,21.060142398281023,1.4189385175704956,0.004726824042154476,11.680966318189167
1260,4842240,621,22.248838,0.836,0.164,20.93183921051258,1.4189385175704956,0.0034725508215615263,5.652332584839314
1280,4919040,621,22.617916,0.84,0.16,20.68782898645522,1.4189385175704956,0.004466045321896673,7.64868240035139
1300,4995840,621,21.67205,0.818,0.182,20.896606626410037,1.4189385175704956,0.002118911613797536,10.185091834154445
1320,5072640,621,22.336891,0.836,0.164,21.182958833487703,1.4189385175704956,0.004912347335903178,4.095362675189972
1340,5149440,621,21.577717,0.812,0.188,20.93885670396313,1.4189385175704956,0.004500324692344293,9.221266688941977
1360,5226240,621,21.261532,0.81,0.19,20.21840963133704,1.4189385175704956,0.005319638831133488,10.277417858340778
1380,5303040,621,21.47069,0.814,0.184,21.00865849538101,1.4189385175704956,0.006601997249526903,6.611355280608405
1400,5379840,621,22.512589,0.842,0.158,22.023673646931538,1.4189385175704956,0.005607153658638708,7.719260833389126
1420,5456640,622,23.177988,0.854,0.146,22.600928466031327,1.4189385175704956,0.006797125292359851,7.006627007760107
1440,5533440,622,24.750172,0.892,0.104,22.824043766735123,1.4189385175704956,0.004122743556217756,4.307989802048541
1460,5610240,621,23.635845,0.86,0.138,21.837085310792084,1.4189385175704956,0.001972290989942849,9.68987081492087
1480,5687040,621,22.17331,0.826,0.174,21.681714483049234,1.4189385175704956,0.0022099188063293695,10.103369685239159
1500,5763840,621,21.873306,0.82,0.18,21.287667478072457,1.4189385175704956,0.006448223593179136,8.362525617098436
1520,5840640,621,21.85984,0.824,0.174,21.554380792181938,1.4189385175704956,0.0033992437020060606,10.30624862771947
1540,5917440,622,20.166039,0.778,0.22,21.11987782482756,1.4189385175704956,0.003553589922375977,13.247055329871364
1560,5994240,622,21.44262,0.812,0.188,21.1111385491956,1.4189385175704956,0.00420396460685879,11.285639949585311
1580,6071040,621,21.383593,0.808,0.192,20.953806588172913,1.4189385175704956,0.005093869619304314,9.28765069525689
1600,6147840,621,20.234545,0.782,0.218,20.472047550099436,1.4189385175704956,0.001509256068675313,11.10400325183291
